tornado 201905052245Z  33.26 -101.84 None
tornado 201905052313Z  33.16 -101.66 None
hail 201905052245Z  37.25 -101.28 1.0
hail 201905052250Z  34.54 -101.77 1.75
hail 201905052251Z  40.77 -96.64 1.0
hail 201905052253Z  40.70 -97.93 2.5
hail 201905052300Z  40.68 -98.27 1.0
hail 201905052302Z  37.77 -100.40 1.0
hail 201905052302Z  40.67 -97.86 1.75
hail 201905052304Z  40.14 -99.47 1.0
hail 201905052306Z  40.65 -98.38 1.5
hail 201905052307Z  34.94 -102.15 1.0
hail 201905052315Z  32.33 -102.56 1.75
wind 201905052246Z  40.85 -96.76 87.0
wind 201905052250Z  40.81 -96.78 None
wind 201905052255Z  25.83 -80.22 None
wind 201905052258Z  33.21 -101.78 65.0
wind 201905052301Z  34.73 -101.60 None
wind 201905052310Z  33.16 -101.77 None
wind 201905052311Z  40.76 -96.71 None
